Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       16     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.00     0.00       16     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.00     0.00       15     0.00     0.00  std::deque<void (*)(int), std::allocator<void (*)(int)> >::begin()
  0.00      0.00     0.00       15     0.00     0.00  std::thread::~thread()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<ActiveObject*, std::vector<ActiveObject, std::allocator<ActiveObject> > >::__normal_iterator(ActiveObject* const&)
  0.00      0.00     0.00       14     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00       14     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::_S_check_init_len(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.00     0.00       14     0.00     0.00  int* std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&, std::random_access_iterator_tag)
  0.00      0.00     0.00       14     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.00     0.00       14     0.00     0.00  std::iterator_traits<int*>::iterator_category std::__iterator_category<int*>(int* const&)
  0.00      0.00     0.00       14     0.00     0.00  std::remove_reference<std::allocator<void (*)(int)>&>::type&& std::move<std::allocator<void (*)(int)>&>(std::allocator<void (*)(int)>&)
  0.00      0.00     0.00       14     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      0.00     0.00       14     0.00     0.00  void (* const&std::forward<void (* const&)(int)>(std::remove_reference<void (* const&)(int)>::type&))(int)
  0.00      0.00     0.00       14     0.00     0.00  void std::__fill_a<int*, int>(int*, int*, int const&)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
